Fid;PreProcessoNormalizzazione;Comune;Provincia;IndirizzoSedeOperativa;Telefono;Fax;TipoEnte;Latitudine;Longitudine
1;ADECCO ITALIA S.P.A.;Avellino;AV;Piazza della Liberta', 32;0825756302;0825769380;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;40,914875;14,793471
2;APS SANNIOIRPINIA LAB;Roccabascerana;AV;Via Nazionale Appia snc;0824840408;0824840408;ALTRO SOGGETTO GIURIDICO CON REQUISITI PER SPL;41,016189;14,717665
3;ASSOCIAZIONE DI PROMOZIONE SOCIALE CHIRONE;Avellino;AV;Via Pescatori, 123;3287029869;0823890232;ASSOCIAZIONE SENZA FINI DI LUCRO;40,918195;14,780411
4;ASSOCIAZIONE FORMAZIONE E LAVORO;Calitri;AV;Via Puccini- Contrada Strettuale;0818315413;0818319165;ASSOCIAZIONE SENZA FINI DI LUCRO;40,899253;15,425792
5;ESPANSIONE S.R.L.;Avellino;AV;Via Cesare Uva, 3;0825781052;08251801013;SOCIETÁ DI SERVIZI;40,921476;14,784491
6;FONDAZIONE G. BRODOLINI;Avellino;AV;Via Tuoro Cappuccini, I Trav , n. 28 ;0644249625;0644249625;FONDAZIONE;40,919987;14,792829
7;GENERAZIONE VINCENTE S.P.A.;Avellino;AV;Via Partenio, 52;0825760108;0825756844;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;40,915413;14,789695
8;LAVORO.DOC S.P.A.;Avellino;AV;Via Luigi Amabile, 25p- 25 q;0825768812;082573 288;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;40,916379;14,794009
9;P.S.B. S.R.L.;Ariano Irpino;AV;Via Cardito, 203;0815705650;0825891818;AGENZIE DI INTERMEDIAZIONE;41,134292;15,080777
10;WELCOME AGENZIA DI COMUNICAZIONI SOCIETA' COOPERATIVA EDITORIALE E GIORNALISTICA A R.L.;Avellino;AV;Via Fratelli Bisogno, 5;0825781351;0825248170;SOCIETÁ DI SERVIZI;40,916285;14,784853
11;ADECCO ITALIA S.P.A.;Benevento;BN;Via Grimoaldo re, 22;082421857;0824325377;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;41,138023;14,767293
12;APS SANNIOIRPINIA LAB;Ceppaloni;BN;Via Appia, 29;0824840408;0824840408;ALTRO SOGGETTO GIURIDICO CON REQUISITI PER SPL;41,044030;14,760137
13;I.R.FO.M. SOCIETA' COOPERATIVA;Benevento;BN;Contrada Ponte Valentino;08241815219 ;08241810351;SOCIETÁ DI SERVIZI;41,144525;14,829460
14;ISTITUTO CAMPANO PER LA FORMAZIONE PROFESSIONALE ;Montesarchio;BN;Via Tesa, 23;0824847190;0824847190;ENTE DI FORMAZIONE;41,066704;14,634248
15;MANPOWER S.R.L.;Benevento;BN;Via del Pomerio, 39-41;0824482019;0824325534;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;41,133322;14,777860
16;MESTIERI - CONSORZIO DI COOPERATIVE SOCIALI;Benevento;BN;Via Almerico Meomartini, 80;800034499;0824326246;SOCIETÁ DI SERVIZI;41,123137;14,795524
17;TEMPI MODERNI S.P.A.;Airola;BN;Via Caracciano, 5;0823950059;0823288052;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;41,041230;14,561049
18;UNIONE PROVINCIALE ARTIGIANI E PICCOLE IMPRESE BENEVENTO - CLAAI IMPRESE;Benevento;BN;Via Almerico Meomartini, 80;082429845;0824351699;ALTRO SOGGETTO GIURIDICO CON REQUISITI PER SPL;41,123129;14,795546
19;ADECCO ITALIA S.P.A.;Caserta;CE;Via Padova, 42/44;0823321944;0823446011;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;41,079043;14,332602
20;AGENZIA PER IL LAVORO TRAINING & WORKING  - PROGETTO EUROPA S.r.l.;Caserta;CE;Via Roma, 17;0823325422;;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;41,070427;14,332252
21;ASSOCIAZIONE DI PROMOZIONE SOCIALE CHIRONE;Santa Maria Capua Vetere;CE;Via Gran Bretagna snc, Parco Aveco;3287029869;0823890232;ASSOCIAZIONE SENZA FINI DI LUCRO;41,091400;14,255515
22;ASSOCIAZIONE DI PROMOZIONE SOCIALE CHIRONE;Santa Maria Capua Vetere;CE;Via del Lavoro, 201;3287029869;0823890232;ASSOCIAZIONE SENZA FINI DI LUCRO;41,088579;14,241084
23;ASSOCIAZIONE DI PROMOZIONE SOCIALE CHIRONE;Trentola-Ducenta;CE;Via degli Olmi, 8;3287029869;0823890232;ASSOCIAZIONE SENZA FINI DI LUCRO;40,991754;14,219678
24;ASSOCIAZIONE DI PROMOZIONE SOCIALE CHIRONE;Santa Maria Capua Vetere;CE;Via Merano, 2;3287029869;0823890232;ASSOCIAZIONE SENZA FINI DI LUCRO;41,069252;14,258634
25;CONAPI CASERTA;Santa Maria capua Vetere;CE;Via Enrico De Nicola, Residence Le Torri scala A;3931190928;0823799044;ALTRO SOGGETTO GIURIDICO CON REQUISITI PER SPL;41,087754;14,261856
